time	V(Vout1,Vout2)	V(vin1)	V(vin2)	V(vout1)	V(vout2)
2.111014285681973e-002	-3.932371e+000	6.832615e-001	-3.416307e-001	8.067629e+000	1.200000e+001
2.122174999967687e-002	-3.953994e+000	7.489381e-001	-3.744690e-001	8.046006e+000	1.200000e+001
2.131940624967687e-002	-3.972608e+000	8.054714e-001	-4.027357e-001	8.027392e+000	1.200000e+001
2.141706249967687e-002	-3.990972e+000	8.612466e-001	-4.306233e-001	8.009028e+000	1.200000e+001
2.151471874967688e-002	-4.009068e+000	9.162114e-001	-4.581057e-001	7.990932e+000	1.200000e+001
2.171003124967688e-002	-4.044395e+000	1.023503e+000	-5.117514e-001	7.955605e+000	1.200000e+001
2.190534374967688e-002	-4.078454e+000	1.126942e+000	-5.634711e-001	7.921546e+000	1.200000e+001
2.210065624967688e-002	-4.111117e+000	1.226140e+000	-6.130700e-001	7.888883e+000	1.200000e+001
2.239362499967689e-002	-4.157226e+000	1.366172e+000	-6.830858e-001	7.842774e+000	1.200000e+001
2.268659374967689e-002	-4.199527e+000	1.494638e+000	-7.473192e-001	7.800473e+000	1.200000e+001
2.297956249967690e-002	-4.237664e+000	1.610453e+000	-8.052264e-001	7.762336e+000	1.200000e+001
2.327253124967690e-002	-4.271312e+000	1.712634e+000	-8.563172e-001	7.728688e+000	1.200000e+001
2.356549999967690e-002	-4.300186e+000	1.800318e+000	-9.001592e-001	7.699814e+000	1.200000e+001
2.385846874967691e-002	-4.324042e+000	1.872762e+000	-9.363812e-001	7.675958e+000	1.200000e+001
2.415143749967691e-002	-4.342678e+000	1.929353e+000	-9.646765e-001	7.657322e+000	1.200000e+001
2.444440624967692e-002	-4.355935e+000	1.969611e+000	-9.848056e-001	7.644065e+000	1.200000e+001
2.473737499967692e-002	-4.363702e+000	1.993197e+000	-9.965983e-001	7.636298e+000	1.200000e+001
2.503034374967693e-002	-4.365912e+000	1.999909e+000	-9.999546e-001	7.634088e+000	1.200000e+001
2.532331249967693e-002	-4.362548e+000	1.989692e+000	-9.948460e-001	7.637452e+000	1.200000e+001
2.561628124967693e-002	-4.353637e+000	1.962632e+000	-9.813160e-001	7.646363e+000	1.200000e+001
2.590924999967694e-002	-4.339254e+000	1.918958e+000	-9.594789e-001	7.660746e+000	1.200000e+001
2.620221874967694e-002	-4.319523e+000	1.859039e+000	-9.295197e-001	7.680477e+000	1.200000e+001
2.649518749967695e-002	-4.294610e+000	1.783384e+000	-8.916919e-001	7.705390e+000	1.200000e+001
2.678815624967695e-002	-4.264725e+000	1.692632e+000	-8.463158e-001	7.735275e+000	1.200000e+001
2.708112499967695e-002	-4.230123e+000	1.587551e+000	-7.937755e-001	7.769877e+000	1.200000e+001
2.737409374967696e-002	-4.191095e+000	1.469031e+000	-7.345157e-001	7.808905e+000	1.200000e+001
2.766706249967696e-002	-4.147974e+000	1.338076e+000	-6.690382e-001	7.852026e+000	1.200000e+001
2.796003124967697e-002	-4.101125e+000	1.195794e+000	-5.978971e-001	7.898875e+000	1.200000e+001
2.815534374967697e-002	-4.068015e+000	1.095238e+000	-5.476189e-001	7.931985e+000	1.200000e+001
2.835065624967697e-002	-4.033548e+000	9.905592e-001	-4.952796e-001	7.966452e+000	1.200000e+001
2.844831249967697e-002	-4.015846e+000	9.367965e-001	-4.683983e-001	7.984154e+000	1.200000e+001
2.854596874967698e-002	-3.997854e+000	8.821523e-001	-4.410761e-001	8.002146e+000	1.200000e+001
2.864362499967698e-002	-3.979589e+000	8.266777e-001	-4.133389e-001	8.020411e+000	1.200000e+001
2.874128124967698e-002	-3.961068e+000	7.704251e-001	-3.852126e-001	8.038932e+000	1.200000e+001
2.883893749967698e-002	-3.942308e+000	7.134475e-001	-3.567237e-001	8.057692e+000	1.200000e+001
2.893659374967698e-002	-3.923328e+000	6.557983e-001	-3.278992e-001	8.076672e+000	1.200000e+001
2.913190624967698e-002	-3.884776e+000	5.387032e-001	-2.693516e-001	8.115224e+000	1.200000e+001
2.952253124967699e-002	-3.805819e+000	2.988787e-001	-1.494393e-001	8.194180e+000	1.200000e+001
2.962018749967699e-002	-3.785734e+000	2.380773e-001	-1.190387e-001	8.214231e+000	1.199997e+001
2.971784374967699e-002	-3.763325e+000	1.770519e-001	-8.852597e-002	8.235479e+000	1.199880e+001
2.981549999967699e-002	-3.665539e+000	1.158599e-001	-5.792993e-002	8.294400e+000	1.195994e+001
2.991315624967699e-002	-2.465402e+000	5.455877e-002	-2.727938e-002	8.903549e+000	1.136895e+001
3.001081249967700e-002	3.997755e-001	-6.793681e-003	3.396841e-003	1.034110e+001	9.941320e+000
3.010846874967700e-002	2.900907e+000	-6.813974e-002	3.406987e-002	1.159057e+001	8.689660e+000
